timestamp,total_memory_mb,available_memory_mb,used_memory_mb,percent_memory
2024-06-22 10:44:15,5853.62,1825.74,3648.51,68.80
2024-06-22 10:44:20,5853.62,1823.33,3652.91,68.90
2024-06-22 10:44:25,5853.62,1821.32,3652.90,68.90
2024-06-22 10:44:30,5853.62,1826.24,3647.96,68.80
2024-06-22 10:44:35,5853.62,1815.45,3658.64,69.00
2024-06-22 10:44:40,5853.62,1897.49,3598.12,67.60
2024-06-22 10:44:45,5853.62,1921.71,3573.83,67.20
2024-06-22 10:44:50,5853.62,1934.75,3562.19,66.90
2024-06-22 10:44:55,5853.62,1904.32,3581.94,67.50
2024-06-22 10:45:00,5853.62,1899.31,3585.09,67.60
2024-06-22 10:45:05,5853.62,1866.41,3618.00,68.10
2024-06-22 10:45:10,5853.62,1827.87,3645.23,68.80
2024-06-22 10:45:15,5853.62,1811.51,3694.50,69.10
2024-06-22 10:45:20,5853.62,1844.68,3662.01,68.50
2024-06-22 10:45:25,5853.62,1827.04,3671.28,68.80
2024-06-22 10:45:30,5853.62,1847.07,3655.51,68.40
2024-06-22 10:45:35,5853.62,1871.34,3631.46,68.00
2024-06-22 10:45:40,5853.62,1868.30,3634.75,68.10
2024-06-22 10:45:45,5853.62,1867.27,3635.77,68.10
2024-06-22 10:45:50,5853.62,1864.25,3638.79,68.20
2024-06-22 10:45:55,5853.62,1859.45,3643.59,68.20
2024-06-22 10:46:00,5853.62,1861.92,3644.34,68.20
2024-06-22 10:46:05,5853.62,1870.80,3641.21,68.00
2024-06-22 10:46:10,5853.62,1868.07,3642.71,68.10
2024-06-22 10:46:15,5853.62,1864.46,3646.32,68.10
2024-06-22 10:46:20,5853.62,1863.21,3649.57,68.20
2024-06-22 10:46:25,5853.62,1867.31,3643.47,68.10
2024-06-22 10:46:30,5853.62,1858.80,3652.00,68.20
2024-06-22 10:46:35,5853.62,1857.72,3653.07,68.30
2024-06-22 10:46:40,5853.62,1856.89,3653.91,68.30
2024-06-22 10:46:45,5853.62,1883.79,3628.36,67.80
2024-06-22 10:46:50,5853.62,1886.66,3625.48,67.80
2024-06-22 10:46:55,5853.62,1879.57,3632.57,67.90
2024-06-22 10:47:00,5853.62,1879.14,3633.00,67.90
2024-06-22 10:47:05,5853.62,1875.04,3637.11,68.00
2024-06-22 10:47:10,5853.62,1870.22,3641.93,68.10
2024-06-22 10:47:15,5853.62,1865.48,3646.66,68.10
2024-06-22 10:47:20,5853.62,1859.20,3656.82,68.20
2024-06-22 10:47:25,5853.62,1852.44,3663.59,68.40
2024-06-22 10:47:30,5853.62,1841.80,3674.23,68.50
2024-06-22 10:47:35,5853.62,1842.86,3673.17,68.50
2024-06-22 10:47:40,5853.62,1838.27,3677.75,68.60
2024-06-22 10:47:45,5853.62,1860.09,3655.93,68.20
2024-06-22 10:47:50,5853.62,1863.97,3652.06,68.20
2024-06-22 10:47:55,5853.62,1857.42,3658.60,68.30
2024-06-22 10:48:00,5853.62,1847.51,3668.51,68.40
2024-06-22 10:48:05,5853.62,1842.62,3673.40,68.50
2024-06-22 10:48:10,5853.62,1838.20,3677.80,68.60
2024-06-22 10:48:15,5853.62,1817.89,3698.60,68.90
2024-06-22 10:48:20,5853.62,1798.29,3718.20,69.30
2024-06-22 10:48:25,5853.62,1797.89,3720.45,69.30
2024-06-22 10:48:30,5853.62,1816.99,3699.50,69.00
2024-06-22 10:48:35,5853.62,1813.50,3702.99,69.00
2024-06-22 10:48:40,5853.62,1810.93,3705.56,69.10
2024-06-22 10:48:45,5853.62,1810.32,3706.17,69.10
2024-06-22 10:48:50,5853.62,1821.83,3694.66,68.90
2024-06-22 10:48:55,5853.62,1819.21,3697.28,68.90
2024-06-22 10:49:00,5853.62,1841.82,3674.67,68.50
2024-06-22 10:49:05,5853.62,1840.47,3678.02,68.60
2024-06-22 10:49:10,5853.62,1837.96,3678.53,68.60
2024-06-22 10:49:15,5853.62,1832.17,3684.32,68.70
2024-06-22 10:49:20,5853.62,1825.95,3690.54,68.80
2024-06-22 10:49:25,5853.62,1823.70,3692.91,68.80
2024-06-22 10:49:30,5853.62,1817.25,3701.23,69.00
2024-06-22 10:49:35,5853.62,1812.84,3703.65,69.00
2024-06-22 10:49:40,5853.62,1815.12,3701.37,69.00
2024-06-22 10:49:45,5853.62,1814.23,3702.26,69.00
2024-06-22 10:49:50,5853.62,1813.36,3703.13,69.00
2024-06-22 10:49:55,5853.62,1827.20,3689.27,68.80
2024-06-22 10:50:00,5853.62,1845.11,3671.38,68.50
2024-06-22 10:50:05,5853.62,1845.84,3670.65,68.50
2024-06-22 10:50:10,5853.62,1844.96,3671.54,68.50
2024-06-22 10:50:15,5853.62,1836.30,3680.07,68.60
2024-06-22 10:50:20,5853.62,1825.08,3691.41,68.80
2024-06-22 10:50:25,5853.62,1821.52,3696.82,68.90
2024-06-22 10:50:30,5853.62,1818.96,3697.53,68.90
2024-06-22 10:50:35,5853.62,1919.88,3596.48,67.20
2024-06-22 10:50:40,5853.62,1975.13,3541.38,66.30
2024-06-22 10:50:45,5853.62,1970.73,3545.76,66.30
2024-06-22 10:50:50,5853.62,1988.68,3527.82,66.00
2024-06-22 10:50:55,5853.62,1985.23,3531.28,66.10
2024-06-22 10:51:00,5853.62,1986.21,3530.31,66.10
2024-06-22 10:51:05,5853.62,1982.27,3534.25,66.10
2024-06-22 10:51:10,5853.62,1984.93,3531.59,66.10
2024-06-22 10:51:15,5853.62,1984.64,3531.88,66.10
2024-06-22 10:51:20,5853.62,1983.53,3532.97,66.10
2024-06-22 10:51:25,5853.62,1985.17,3531.36,66.10
2024-06-22 10:51:30,5853.62,1981.36,3535.15,66.20
2024-06-22 10:51:35,5853.62,1984.21,3532.32,66.10
2024-06-22 10:51:40,5853.62,1987.52,3529.00,66.00
2024-06-22 10:51:45,5853.62,1988.84,3527.65,66.00
2024-06-22 10:51:50,5853.62,1984.99,3531.53,66.10
2024-06-22 10:51:55,5853.62,1986.57,3529.95,66.10
2024-06-22 10:52:00,5853.62,1988.11,3530.41,66.00
2024-06-22 10:52:05,5853.62,1989.64,3526.88,66.00
2024-06-22 10:52:10,5853.62,1991.97,3524.55,66.00
2024-06-22 10:52:15,5853.62,1991.74,3524.77,66.00
2024-06-22 10:52:20,5853.62,1991.82,3524.71,66.00
2024-06-22 10:52:25,5853.62,2060.40,3458.11,64.80
2024-06-22 10:52:30,5853.62,2060.21,3456.36,64.80
2024-06-22 10:52:35,5853.62,2057.60,3458.92,64.80
2024-06-22 10:52:40,5853.62,2056.11,3460.40,64.90
2024-06-22 10:52:45,5853.62,2054.84,3461.69,64.90
2024-06-22 10:52:50,5853.62,2051.15,3465.37,65.00
2024-06-22 10:52:55,5853.62,2048.41,3468.09,65.00
2024-06-22 10:53:00,5853.62,2042.86,3473.66,65.10
2024-06-22 10:53:05,5853.62,2046.19,3470.33,65.00
2024-06-22 10:53:10,5853.62,2039.90,3476.62,65.20
2024-06-22 10:53:15,5853.62,2037.77,3478.74,65.20
2024-06-22 10:53:20,5853.62,2034.78,3481.74,65.20
2024-06-22 10:53:25,5853.62,2025.78,3490.74,65.40
2024-06-22 10:53:30,5853.62,2022.44,3494.07,65.40
2024-06-22 10:53:35,5853.62,2027.93,3488.59,65.40
2024-06-22 10:53:40,5853.62,2027.71,3490.80,65.40
2024-06-22 10:53:45,5853.62,2026.05,3492.47,65.40
2024-06-22 10:53:50,5853.62,2027.63,3489.01,65.40
2024-06-22 10:53:55,5853.62,2033.22,3483.30,65.30
2024-06-22 10:54:00,5853.62,2035.87,3480.64,65.20
2024-06-22 10:54:05,5853.62,2037.16,3479.35,65.20
2024-06-22 10:54:10,5853.62,2030.68,3485.85,65.30
2024-06-22 10:54:15,5853.62,2028.69,3487.82,65.30
2024-06-22 10:54:20,5853.62,2026.72,3489.80,65.40
2024-06-22 10:54:25,5853.62,2026.49,3490.02,65.40
2024-06-22 10:54:30,5853.62,2027.71,3488.82,65.40
2024-06-22 10:54:35,5853.62,2026.32,3490.20,65.40
2024-06-22 10:54:40,5853.62,2023.91,3492.61,65.40
2024-06-22 10:54:45,5853.62,2021.55,3494.97,65.50
2024-06-22 10:54:50,5853.62,2021.08,3495.45,65.50
2024-06-22 10:54:55,5853.62,2023.76,3492.77,65.40
2024-06-22 10:55:00,5853.62,2019.48,3497.04,65.50
2024-06-22 10:55:05,5853.62,2014.25,3502.27,65.60
2024-06-22 10:55:10,5853.62,2015.69,3502.82,65.60
2024-06-22 10:55:15,5853.62,2014.03,3502.49,65.60
2024-06-22 10:55:20,5853.62,1990.29,3526.23,66.00
2024-06-22 10:55:25,5853.62,1983.26,3533.27,66.10
2024-06-22 10:55:30,5853.62,1977.10,3539.41,66.20
2024-06-22 10:55:35,5853.62,1975.12,3541.39,66.30
2024-06-22 10:55:40,5853.62,1964.70,3551.83,66.40
2024-06-22 10:55:45,5853.62,1960.19,3556.33,66.50
2024-06-22 10:55:50,5853.62,1957.01,3559.51,66.60
2024-06-22 10:55:55,5853.62,1953.31,3565.21,66.60
2024-06-22 10:56:00,5853.62,1951.04,3565.48,66.70
2024-06-22 10:56:05,5853.62,1947.26,3569.27,66.70
2024-06-22 10:56:10,5853.62,1951.57,3566.95,66.70
2024-06-22 10:56:15,5853.62,1970.40,3546.12,66.30
2024-06-22 10:56:20,5853.62,1969.92,3546.59,66.30
2024-06-22 10:56:25,5853.62,1967.45,3549.07,66.40
2024-06-22 10:56:30,5853.62,1992.35,3523.79,66.00
2024-06-22 10:56:35,5853.62,1948.05,3570.05,66.70
2024-06-22 10:56:40,5853.62,1980.85,3538.78,66.20
2024-06-22 10:56:45,5853.62,3720.31,1811.67,36.40
2024-06-22 10:56:50,5853.62,3717.32,1814.72,36.50
2024-06-22 10:56:55,5853.62,3724.11,1807.95,36.40
2024-06-22 10:57:00,5853.62,3721.76,1810.29,36.40
2024-06-22 10:57:05,5853.62,3718.69,1813.36,36.50
2024-06-22 10:57:10,5853.62,3719.73,1814.20,36.50
2024-06-22 10:57:15,5853.62,3718.80,1813.25,36.50
2024-06-22 10:57:20,5853.62,3717.52,1814.52,36.50
2024-06-22 10:57:25,5853.62,3715.88,1816.18,36.50
2024-06-22 10:57:30,5853.62,3713.83,1818.21,36.60
2024-06-22 10:57:35,5853.62,3713.58,1818.47,36.60
2024-06-22 10:57:40,5853.62,3711.84,1820.21,36.60
2024-06-22 10:57:45,5853.62,3708.88,1823.17,36.60
2024-06-22 10:57:50,5853.62,3709.20,1822.85,36.60
2024-06-22 10:57:55,5853.62,3706.59,1827.46,36.70
2024-06-22 10:58:00,5853.62,3705.02,1827.03,36.70
2024-06-22 10:58:05,5853.62,3704.86,1827.17,36.70
2024-06-22 10:58:10,5853.62,3704.44,1827.61,36.70
2024-06-22 10:58:15,5853.62,3695.87,1836.18,36.90
2024-06-22 10:58:20,5853.62,3696.75,1835.30,36.80
2024-06-22 10:58:25,5853.62,3695.20,1833.32,36.90
2024-06-22 10:58:30,5853.62,3674.68,1846.67,37.20
2024-06-22 10:58:35,5853.62,3647.34,1858.68,37.70
2024-06-22 10:58:40,5853.62,3531.42,1959.91,39.70
2024-06-22 10:58:45,5853.62,3603.35,1911.29,38.40
2024-06-22 10:58:50,5853.62,3618.05,1890.71,38.20
2024-06-22 10:58:55,5853.62,3649.91,1868.68,37.60
2024-06-22 10:59:00,5853.62,3611.19,1890.24,38.30
2024-06-22 10:59:05,5853.62,3613.21,1888.46,38.30
2024-06-22 10:59:10,5853.62,3627.27,1888.37,38.00
2024-06-22 10:59:15,5853.62,3631.85,1887.68,38.00
2024-06-22 10:59:20,5853.62,3632.82,1884.85,37.90
2024-06-22 10:59:25,5853.62,3630.10,1887.57,38.00
2024-06-22 10:59:30,5853.62,3628.06,1889.61,38.00
2024-06-22 10:59:35,5853.62,3624.49,1893.18,38.10
2024-06-22 10:59:40,5853.62,3624.11,1897.57,38.10
2024-06-22 10:59:45,5853.62,3621.88,1899.91,38.10
